name,address,rating,review_count
Nuba in Gastown,207 W Hastings St,4.4,2090
Nuba in Yaletown,508 Davie St,4.3,909
Nuba Cafe and Catering in Mount Pleasant,146 E 3rd Ave,4.3,621
Nuba in Kitsilano,3116 W Broadway,4.2,724
