name,address,rating,review_count
Vera's Burger Shack,254 Newport Dr,4.1,237
Vera's Burger Shack,2922 Main St,4.3,386
Vera's Burger Shack,1030 Davie St,4.3,632
Vera's Burger Shack,1925 Cornwall Ave,4,320
Vera's Burger Shack,19800 Lougheed Hwy #390,4,297
Vera's Burger Shack Brickyard,17449 56 Ave,4.2,341
Vera's Burger Shack,18660 Fraser Hwy,4.1,273
Vera's Burger Shack,3211 Grant McConachie Way,2.9,196
Vera's Burger Shack,2188 Western Pkwy,3.4,139
