name,address,rating,review_count
Guu with Otokomae,375 Water St #105,4.3,759
Guu Original Thurlow,838 Thurlow St,4.4,1223
Guu Garden,888 Nelson St m101,4.2,921
Guu with Garlic,1698 Robson St,4.4,1063
Guu Davie,1239 Davie St,4.3,99
