name,address,rating,review_count
Liuyishou Hotpot Burnaby,5507 Kingsway,3.9,262
Liuyishou Hotpot Robson,1542 Robson St,3.9,433
Liuyishou Hotpot,4731 Garden City Rd #150,4.0,315
