name,address,cuisine,price,rating,review_count
Babylon Cafe,1605 Commercial Dr,Middle Eastern,$,4.2,93
4 Brothers Pizza,1914 Commercial Dr,Pizza,,4.2,275
The Charlatan,1447 Commercial Dr,Gastropub,$$,4.1,651
Zawa Restaurant,920 Commercial Dr,Restaurant,,3.7,209
Van Dragon Seafood Restaurant,2163 E Hastings St,Seafood,$$,3.9,511
Nonna's Table Pizzeria & Restaurant,1489 E Hastings St,Italian,$$,3.9,86
Sushi Ninja,1861 Commercial Dr,Sushi,,4.4,47
Hon's Wonton House - Broadway Station,1661 E Broadway,Chinese,,4.4,34
A&W Canada,1715 E Broadway,Hamburger,$,3.8,514
Koko Japanese Restaurant Ltd,2053 E Hastings St,Japanese,$$,4.3,196
Sweet Cherubim,1105 Commercial Dr,Natural goods store,,4.2,328
Volcano Sushi & Grill,1991 E Hastings St,Sushi,$,4.1,315
Park Drive,1815 Commercial Dr,Bar,$$,4.4,140
La Pache Pizza,2082 Commercial Dr,Pizza Takeout,,4.7,198
Social,1812 Commercial Dr,Restaurant,,4.3,39
Golden Spring Restaurant,2461 Nanaimo St,Chinese,$$,3.7,229
Loku Japanese Cuisine,2280 Commercial Dr,Japanese,$$,4.2,548
Song Huong Restaurant,1613 Nanaimo St,Vietnamese,$,4.3,524
Rinconcito Salvadoreno,2062 Commercial Dr,Salvadoran,$$,4.3,260
Pho Win Vietnamese restaurant,2138 E Hastings St,Pho,$,4.1,123
The Narcissus,Powell St 1701 Powell St #109,Cafe,$,4.7,106
Toscani,1321 Commercial Dr,Sports bar,,4.4,14
Odyssey Seafoods,2295 Commissioner St,Restaurant,,,
Uncle Fatih's Pizza - COMMERCIAL,1685 E Broadway,Pizza,$,4.2,617
St. Augustine's,2360 Commercial Dr,Gastropub,$$,4.1,2063
Delhi Fusion Indian Cuisine,1859 Commercial Dr,Indian,,4.4,57
POKE 153,2261 E Hastings St,Restaurant,,4.7,18
Sun Yee Cafe Restaurant,2060 E Hastings St,Restaurant,,4.4,17
Mediterranean Specialty Foods,1824 Commercial Dr,Gourmet grocery store,,4.7,234
Parallel 49 Brewing Company,1950 Triumph St,Brewery,,4.5,797
Church's Chicken,2304 E Hastings St,Chicken,$,3.8,796
Spot On Digital Marketing,1643 Venables St #210,Internet marketing service,,5.0,19
Rosemary Rocksalt - Commercial Drive,1350 Commercial Dr,Restaurant,,4.1,217
On Lok Restaurant & Wun Tun House,2010 E Hastings St,Chinese Noodles,$,3.8,707
A&W Canada,2033 E Hastings St,Hamburger,$,3.7,708
Little Caesars Pizza,2080 HASTINGS STREET EAST,Pizza,$,3.9,171
Star chick,1678 Commercial Dr SW,Restaurant,,,
La Cucina Del Diavolo,1701 Powell St,Restaurant,,,
Cindys Palace,1796 Nanaimo St,Chinese,$$,3.9,448
