name,address,cuisine,price,rating,review_count
Jiro Sushi & Ramen,1801 Renfrew St,Japanese,$,4.1,155
Ashiana Tandoori,1440 Kingsway,Indian,$$,4.7,392
Green Lettuce,1949 Kingsway,South Asian,$$,4.2,923
Los Guerreros Mexican Food Products,3317 Kingsway #102,Mexican goods store,$$,4.2,519
Kook Korean BBQ Restaurant,2800 E 1st Ave #211A,Korean,,4.4,434
Happy Day Cafe (Vancouver,3312 Kingsway,Hong Kong style fast food restaurant,$,3.7,977
Thai Son,2800 E 1st Ave,Vietnamese,$,3.9,241
Kyle's Cafe,2627 Commercial Dr,Restaurant,$,4.1,219
Pho Duy Restaurant,1996 Kingsway,Pho,$,4.3,152
Sandy La Chinese Restaurant,5257 Victoria Dr,Chinese,$,3.8,576
Whiskey Six BBQ,826 Renfrew St,Barbecue,$$,4.5,339
Metro Coffee Bar & Billiards,3175 Kingsway,Bar,$,4.6,101
Mr.Sub,2885 E Broadway,Restaurant,$,4.1,176
Ricky's Country Restaurant - Boundary,2350 Boundary Rd,Family-friendly,$$,3.7,658
Honolulu Cafe,3340 Kingsway,Cantonese,$,3.7,799
Gold Train Express Restaurant,3320 Kingsway,Pho,$,3.6,697
Pho Thai Hoa Restaurant,1625 Kingsway,Takeout Restaurant,$,3.9,272
Tikim Asian Fusion Restaurant,5772 Fraser St,Restaurant,,4.5,24
The Pizza King,1464 E Broadway,Pizza,,4.1,97
Lotus Seed vegan,736 W Broadway,Vegan,$$,4.6,447
East One Seafood Restaurant,2800 E 1st Ave,Seafood,,3.7,414
Milk & Sugar Cafe,3365 Kingsway,Bubble Tea,$,4.5,921
Jules Bistro,216 Abbott St,French,$$,4.3,475
Subway,2312 Kingsway,Sandwich,$,3.2,103
Five Sails Restaurant,999 Canada Pl,Fine Dining,$$$$,4.5,312
Gotham Steakhouse & Cocktail Bar,615 Seymour St,Steak,$$$$,4.6,1495
Bubble World Tea House,3377 2 Kingsway #2,Bubble Tea,$,4.2,195
The One Restaurant,5908 Kingsway,Taiwanese,$,3.9,1287
Sweet Country Foods,2538 Kingsway,Asian grocery store,,4.7,21
Pearl Hot Pot,7154 Sperling Ave,Hot Pot,$$,4.2,280
Timber Bistro & Books,Slocan St Entrance 2700 E Broadway,Cafe,$,4.7,15
Bao Bakery,5115 Joyce St,Chinese bakery,$,4.0,298
Dai Tung Chinese Seafood Restaurant,1050 Kingsway,Chinese,$$,3.7,656
Kamamarui Ramen & Don Heights,4219 Hastings St,Japanese,$$,4.3,468
The Warehouse,2650 Slocan St,Event venue,,4.4,23
Bluebird Cakery,2955 Virtual Way #110,Cake shop,,4.5,12
Glowbal,590 W Georgia St,Fusion restaurant,$$$,4.0,1618
Starbucks,2905 Hebb Ave,Coffee store,$$,4.3,319
Szechuan Cuisine,6408 Kingsway,Chinese,$$,3.8,306
Yu Kee BBQ Kitchen,2609 E 49th Ave,Chinese,$$,3.5,140
Gong Cha Renfrew,2887 E 12th Ave,Bubble Tea,$$,4.0,112
BlackBall Taiwanese Dessert,3377 Kingsway #1,Dessert shop,,4.3,47
The Captain's Boil,1487 Robson St,Seafood,$$,4.0,329
Triumph Food Equipment Services Ltd,4671 Slocan St,Restaurant supply store,,,
Jin Jiang Shanghai Restaurant,5411 Kingsway,Shanghainese,$$,3.8,651
Kaur's Coffee,2406 E Broadway,Coffee shop,$,4.2,133
Sharetea,3619 Kingsway,Bubble Tea,$,4.0,233
Starbucks,2840 Bentall St,Coffee store,$$,4.2,345
Tim Hortons,2889 E 12th Ave,Cafe,$,3.8,614
Starbucks,3665 Kingsway #190,Coffee store,$$,4.1,319
Purdys Chocolatier,2777 Kingsway Purdys Chocolatier Factory Store,Chocolate shop,,4.5,282
甜心園,2538 Kingsway,Chinese bakery,,4.5,21
La Tandoori,6489 Victoria Dr,Restaurant,,3.6,28
FLOORS DEPOT®️ Hardwood Flooring Engineered Hardwood German Laminate Flooring Vinyl Planks Flooring Vancouver Cork Flooring Vancouver Food Industry Flooring Commercial Kitchen Floors Marmoleum Restaurant Floors Commercial Sheet Vinyl Carpet Tiles Vancouver Acoustic Walls,3665 Kingsway #300,Flooring contractor,,5.0,6
Real Canadian Superstore,3185 Grandview Hwy,Grocery store,,4.0,4115
Starbucks Vancouver Support Centre,2930 Virtual Way,Corporate office,$$,4.7,24
Subway,5218 Joyce St,Sandwich,$,3.1,121
Renfrew-Collingwood,,,,,
Ling Nan Dim Sum Food Co.,3387 Kingsway,Frozen food store,,3.9,8
Tim Hortons,5055 Joyce St Unit 150,Cafe,$,3.6,851
Collingwood Neighbourhood House,5288 Joyce St,Community center,,4.3,235
Joyce–Collingwood,5099 Joyce St,Subway station,,3.9,86
Gizella Pastry Ltd,3436 Lougheed Hwy,Bakery,,4.1,17
Teapressu (@Broadway Tech,2921 Virtual Way,Bubble Tea,,5.0,1
BC Liquor Stores,3150 E Broadway,Liquor store,,4.2,676
Xing Fu Tang - 2675 Kingsway Vancouver,2675 Kingsway,Bubble Tea,,3.9,218
Alcoholics Anonymous,3457 Kingsway,Alcoholism treatment program,,4.4,14
Great Eagle Enterprise Inc,3665 Kingsway,Importer,,,
Arman Expert,3342 Clive Ave,Gutter Cleaning Service,,4.3,6
Tim Hortons,3451 Kingsway,Cafe,$,3.5,477
