name,address,cuisine,price,rating,review_count
Trackers Cafe,188 N Renfrew St,Restaurant,,3.7,3
Golden Seafood Restaurant,2425 Nanaimo St,Chinese,$$,3.9,123
Toyo Sushi Japanese Restaurant,3978 Hastings St,Restaurant,,4.6,79
Henry's Chicken Barbecue,,Restaurant,,4.3,3
Church's Chicken,2304 E Hastings St,Chicken,$,3.8,799
The Gray Olive Cafeteria,4190 Hastings St,Canadian,$$,4.4,528
Bombay Kitchen and Bar,1018 Commercial Dr,Indian,,4.7,839
Anton's Pasta Bar,4260 Hastings St,Restaurant,$$,4.4,3622
Tim Hortons,2801 E Hastings St Unit #1,Restaurant,$,3.8,122
Brokenrice Vietnamese Restaurant,4088 Hastings St,Vietnamese,$$,4.3,332
Motonobu Udon,3501 E Hastings St,Japanese,,3.8,101
On Lok Restaurant & Wun Tun House,2010 E Hastings St,Chinese Noodles,$,3.8,709
Double One Chinese Restaurant,4057 Hastings St,Chinese,$,4.2,208
Butchers Block BBQ,4091 Hastings St,Barbecue,$$,4.3,586
Freshii,2920 Virtual Way,Health Food,$$,4.0,79
McDonald's,3444 E Hastings St,Fast Food,$,3.4,1605
Chakra Indian Restaurant,4051 Hastings St,Indian,,4.5,93
Sula Indian Restaurant - Commercial Drive,1128 Commercial Dr,Indian,$$,4.5,889
Absinthe Bistro,952 Commercial Dr,French,$$,4.8,322
Kishimoto Japanese Restaurant,2054 Commercial Dr,Japanese,$$,4.4,752
Dairy Queen Grill & Chill,2805 E Hastings St E,Fast Food,$,3.5,90
Tamam To Go,1108 Commercial Dr,Restaurant,,4.6,30
Sopra Sotto Pizzeria,1510 Commercial Dr,Italian,$$,4.4,669
Mr.Sub,2885 E Broadway,Restaurant,$,4.1,176
Axum Restaurant,1279 E Hastings St,Ethiopian,$,4.6,296
El Pulgarcito Restaurant,2522 E Hastings St,Salvadoran,$,4.5,324
Yolks,1598 E Hastings St,Breakfast,$$,4.3,1405
The Cannibal Cafe,1818 Commercial Dr,Hamburger,$$,4.3,1200
Mogu Fried Chicken,1012 Commercial Dr,Restaurant,,4.8,71
A&W Canada,2033 E Hastings St,Hamburger,$,3.7,710
Yao Sun Loong Kong Chicken,2800 E 1st Ave,Restaurant,,4.0,1
Sunrise Pizza & Steak House,949 Commercial Dr,Pizza,$$,4.0,358
Stickions Bistro,2679 E Hastings St,Bistro,,,
Bates Restaurants Ltd,3695 Lougheed Hwy,Restaurant,,3.2,9
La Mezcaleria,1622 Commercial Dr,Mexican,$$,4.3,1160
Enzo’s,2492 E Hastings St,Restaurant,,,
Knight & Day Restaurant,3684 Lougheed Hwy,Family-friendly,$$,3.6,797
Thai Cafe Restaurant,4160 Hastings St,Thai,$,4.2,257
Marcello Ristorante & Pizzeria,1404 Commercial Dr,Italian,$$,4.2,1425
Freshslice Pizza,2889 Grandview Hwy #2,Pizza,$,4.1,249
Oca Pastificio,1260 Commercial Dr,Restaurant,,4.7,63
Best Dim Sum Company,2800 E 1st Ave,Frozen food store,,3.9,23
THE PIZZA CASTLE & INDIAN CURRY,1110 Commercial Dr,Vegan,,4.4,130
McDonald's,3695 Lougheed Highway,Fast Food,$,3.4,1792
Kin Kao Thai Kitchen,903 Commercial Dr,Takeout Restaurant,$$,4.4,449
Zazie Vancouver,1859 Commercial Dr,Modern Indian restaurant,,4.2,18
Tour De Feast,319 Mountain Hwy,Modern French,$$,4.6,450
Jamjar Canteen,2290 Commercial Dr,Lebanese,,4.3,935
Odyssey Seafoods,2295 Commissioner St,Restaurant,,,
Tandoori Palace,1439 Commercial Dr,Indian,$,4.3,325
Kazu Japanese Restaurant,4332 Hastings St,Japanese,$$,4.5,382
Poke Five,2247 Commercial Dr,Seafood,,4.5,170
Subway,2828 E Hastings St Unit 108,Sandwich,$,3.8,96
Johny's Shop,1375 Boundary Rd,Snack bar,,4.2,5
Fire Pizza,1918 Commercial Dr,Pizza,$,4.3,837
Windjammer Restaurant,937 Commercial Dr,British,$,4.2,250
Crazy Dogs,2901 E Hastings St,Hot Dog Stand,,4.9,7
DQ,2809 E Hastings St,Restaurant,,,
Lombardo's Pizzeria & Ristorante,1641 Commercial Dr,Italian,$$,4.1,519
Belgian Fries,1885 Commercial Dr,Restaurant,$,4.2,982
Freshslice Pizza,4140 E Hastings St,Pizza,$,4.0,213
Kamamarui Ramen & Don Heights,4219 Hastings St,Japanese,$$,4.3,468
Pepino's Spaghetti House,631 Commercial Dr,Italian,$$,4.4,679
Havana Vancouver,1212 Commercial Dr,Restaurant,$$,4.2,1611
Tangent Café,2095 Commercial Dr,Restaurant,$$,4.3,777
Famoso Neapolitan Pizzeria - Commercial Drive,1380 Commercial Dr,Pizza,$$,4.0,800
Jackalopes Neighbourhood Dive,2257 E Hastings St,Bar,$$,4.5,488
Arriva Ristorante Ltd,1537 Commercial Dr,Italian,$$,4.3,281
Farroghi's,1370 E Georgia St,Fast Food,,4.3,28
Pizza Garden,1042 Commercial Dr,Pizza,$,4.2,387
4 Brothers Pizza,1914 Commercial Dr,Pizza,,4.2,275
Ugly Dumpling,1590 Commercial Dr,Asian,,4.3,146
Siddhartha's Indian Kitchen,2066 Commercial Dr,Indian,$$,4.1,612
La Grotta Del Formaggio,1791 Commercial Dr,Deli,$$,4.6,559
Tim Hortons,3502 E Hastings St,Restaurant,$,3.5,135
Stan's Pizza Joint,4527 Hastings St,Restaurant,$,4.4,326
Duotian Fish Soup Noodles Restaurant,2800 E 1st Ave,Restaurant,$,3.4,295
Downlow Chicken Shack,905 Commercial Dr,Chicken,$$,4.7,1857
Sushi UOmo,4280 Hastings St,Japanese,$,4.2,512
Earls Kitchen + Bar,3850 Lougheed Hwy,Restaurant,$$,4.0,1625
Parallel 49 Brewing Company,1950 Triumph St,Brewery,,4.5,797
Cactus Club Cafe North Burnaby,4219 Lougheed Hwy,Restaurant,$$,4.2,1569
Song Huong Beef Noodle,1613 Nanaimo St,Restaurant,,,
Kojima Sushi,1836 Commercial Dr,Sushi,$,4.0,346
Pink Pearl Chinese Seafood Restaurant,1132 E Hastings St,Chinese,$$,4.0,1006
Boston Pizza,2850 Bentall St,Pizza,$$,3.9,946
Lunch Lady,1046 Commercial Dr,Restaurant,$$,4.4,317
Memphis Blues Barbeque House,1342 Commercial Dr,Takeout Restaurant,$$,4.3,640
Portuguese Club Of Vancouver,1144 Commercial Dr,Portuguese,$$,4.4,136
Tentatsu Japanese Restaurant Burnaby,4266 Hastings St,Sushi,$,3.7,621
JOEY Burnaby,1899 Rosser Ave #109,Restaurant,$$,4.1,1260
X-Site Grill & Bistro,4625 Hastings St,Grill,$,4.3,817
Yama Cafe,2007 E Hastings St,Cafe,,4.7,245
Britannia Sushi,1016 Commercial Dr,Sushi,$,4.0,240
PiDGiN Restaurant,350 Carrall St,Asian Fusion,$$$,4.4,629
Cafe Du Soleil,1393 Commercial Dr,Breakfast,,4.3,488
Triple O's PNE,2901 E Hastings St,Fast Food,,3.1,109
A&W Canada,1520 Main St,Hamburger,$,4.1,763
Prince Seafood Restaurant,2881 Grandview Hwy,Seafood,$$,3.7,928
El Inka Deli,3826 Sunset St,Peruvian,$,4.4,211
Triple O's Grandview Highway,3505 Grandview Hwy,Hamburger,,4.1,340
Dairy Queen Grill & Chill,103-4191 Hastings St,Fast Food,$,3.7,193
Miyako Sushi,2341 E Hastings St,Sushi,$,3.1,268
Virtuous Pie,583 Main St,Vegan,$$,4.5,1678
Parker Street Café,985 Windermere St,Cafe,$,4.4,161
Loku Japanese Cuisine,2280 Commercial Dr,Japanese,$$,4.2,548
