name,address,cuisine,region
Red Robin Gourmet Burgers and Brews,803 Thurlow Street,Burgers,Downtown
Nightingale,1017 W Hastings St,Restaurant,Downtown
Scoozis,445 Howe St.,Mediterranean,Downtown
Tacofino Taco Bar,15 W Cordova St,Tacos,Downtown
Salmon 'n' Bannock,1128 West Broadway,Restaurant,Fairview
Gyu-Kaku Japanese BBQ,201 - 950 W Broadway St,BBQ,Fairview
Shi Zen Ya,1102 West Broadway,Japanese,Fairview
Slickity Jim's Chat & Choux,1387 West 7th Ave,Breakfast,Fairview
Beaucoup Bakery,2150 Fir St,Bakery,Fairview
Café Salade de Fruits,1551 W 7th Ave,French,Fairview
Masa Japanese Restaurant,1414 West Broadway,Japanese,Fairview
The Farmer’s Apprentice,1529 W 6th Ave,Restaurant,Fairview
Suika,1626 W Broadway,Japanese,Fairview
Paul's Place Omelettery Restaurant,2211 Granville St.,Breakfast,Fairview
SushiVan,2566 Granville St,Sushi,Fairview
Oyama Sausage,1689 Johnston St,Deli / Bodega,Fairview
A Bread Affair,1680 Johnston St,Bakery,Fairview
Small Victory,3070 Granville street,Bakery,Fairview
Red Ginger Asian Cuisine,967 W Broadway,Asian,Fairview
Siegel’s Bagels,1698 Johnston St,Bagels,Fairview
A Taste of Vietnam,1016 W Broadway,Vietnamese,Fairview
Lee's Donuts,1689 Johnson St,Donuts,Fairview
Off the Tracks Espresso Bar & Bistro,1363 Railspur Alley,Café,Fairview
Kaya Malay Bistro,1063 West Broadway,Asian,Fairview
Lin's Chinese Cuisine and Tea House,1537 W. Broadway,Chinese,Fairview
Caffè Cittadella,2310 Ash St,Café,Fairview
Go Fish,1505 W 1st Ave,Seafood,Fairview
Grapes & Soda,1537 West 6th Avenue,Restaurant,Fairview
Banana Leaf,820 West Broadway,Malay,Fairview
Heirloom Vegetarian Restaurant,1509 W 12th Ave,Vegetarian / Vegan,Fairview
Vancouver Fish Co.,1517 Anderson Street,Seafood,Fairview
Edible Canada at the Market,1596 Johnston St.,Gastropub,Fairview
