name,address,cuisine,region
The Fish Counter,3825 Main St,Seafood,Riley Park
Sushi Mania,3851 Main St,Sushi,Riley Park
Rocky Mountain Flatbread,4186 Main Street,Restaurant,Riley Park
Locus,4121 Main St,Breakfast,Riley Park
Chickpea,4298 Main St,Falafel,Riley Park
The Arbor,3941 Main Street,Gastropub,Riley Park
O! Taho Filipino Taho Store,,Filipino,Riley Park
Bâtard Boulangerie & Cafe Moderne,3958 Fraser St,Café,Riley Park
Anh and Chi,3388 Main St,Vietnamese,Riley Park
Coco et Olive,3707 Main St,Café,Riley Park
Pizza Carano,4241 Fraser St,Pizza,Riley Park
Solly’s Bagelry,4071 Main St,Bagels,Riley Park
Slickity Jim’s,3475 Main St,Breakfast,Riley Park
Toshi Sushi,181 E 16th Ave.,Sushi,Riley Park
The General Public,3289 Main St,Japanese,Riley Park
Egg And Company,4245 Fraser Street,Breakfast,Riley Park
El Camino's,3250 Main St.,Latin American,Riley Park
Dream Sushi Japanese Restaurant,4401 Main St.,Japanese,Riley Park
The Reef,4172 Main St.,Caribbean,Riley Park
Helen's Grill,4102 Main St,Diner,Riley Park
Yugo Restaurant,4265 Main St,Japanese,Riley Park
Landmark Hot Pot House 春秋火鍋,4023 Cambie St.,Chinese,Riley Park
Nomad,3950 Main St.,Restaurant,Riley Park
Don’t Argue Pizzeria,3240 Main St,Pizza,Riley Park
Boiling Point,4148 Main Street,Hotpot,Riley Park
Sun Sui Wah,3888 Main St,Chinese,Riley Park
King's Chinese Cuisine,4488 Main St,Chinese,Riley Park
Pho Quyen Restaurant,3916 Fraser St,Vietnamese,Riley Park
Ogenki Sushi,4342 Main St.,Sushi,Riley Park
Van. Tea Cafe 伯茶餐廳,5688 Main Street,Chinese,Riley Park
Nammos Estiatorio,3980 Fraser St,Greek,Riley Park
Corner 23,4008 Cambie St.,Chinese,Riley Park
The French Table,3916 Main Street,French,Riley Park
Splitz Grill,4242 Main St,Burgers,Riley Park
Caffé Artigiano,4010 Main St,Café,Riley Park
Bob Likes Thai Food,3755 Main Street,Thai,Riley Park
Ogenki Ramen,4342 Main St.,Noodles,Riley Park
Simply Delicious Eatery & Lounge,4316 Main St,Japanese,Riley Park
Subway,4108 Fraser Street,Sandwiches,Riley Park
Haiyi Seafood Restaurant,4818 Main Street,Cantonese,Riley Park
Autostrada Osteria,4811 Main St,Italian,Riley Park
Sushi Hub,4855 Main Street,Japanese,Riley Park
1/2 Roll Japanese Grill & Sushi Bar,,Japanese,Riley Park
Happy Pho,4136 Main St,Vietnamese,Riley Park
Cambie Vietnam Restaurant,4136 Main Street,Vietnamese,Riley Park
Quejos Cheesebuns,4129 Main St,Bakery,Riley Park
Church's Chicken,3449 Main St,Fried Chicken,Riley Park
Kitchen on Main,3941 Main Street,Italian,Riley Park
Pizza Hut,3425 Main Street,Pizza,Riley Park
Masayoshi,4376 Fraser St,Japanese,Riley Park
Float On Bakeshop & Cafe,4384 Fraser St,Bakery,Riley Park
The Eastwood,4245 Fraser Street,American,Riley Park
Nooru Mahal,4354 Fraser Street,Indian,Riley Park
European Breads Bakery,4324 Fraser St.,Bakery,Riley Park
Aling Ening,4253 fraser street,Filipino,Riley Park
Pho Cilantro,4197 Fraser St,Vietnamese,Riley Park
Grand View Szechuan Restaurant Ltd,4181 Fraser St,Chinese,Riley Park
Bee Kim Heng,4194 Fraser St,Chinese,Riley Park
Ubuntu,4194 Fraser Street,Restaurant,Riley Park
Penang Bistro,3960 Fraser St,Malay,Riley Park
Maxim's Bakery,,Bakery,Riley Park
Panz Veggie,3485 Fraser Street,Vegetarian / Vegan,Riley Park
Nikkyu Japanese Restaurant,3302 Main Street,Japanese,Riley Park
Truffles Fine Foods,5151 Oak St,Sandwiches,Shaughnessy
Goma Sushi,3720 Oak St.,Sushi,Shaughnessy
Shaughnessy Restaurant,5251 Oak St,Restaurant,Shaughnessy
Grand Honour Restaurant,5668 Granville St.,Asian,Shaughnessy
Subway,4665 Arbutus Street,Sandwiches,Shaughnessy
The Best Neighbours Restaurant,3838 Oak St.,Greek,Shaughnessy
Osaka Sushi,960 West King Edward Ave.,Sushi,Shaughnessy
Subway,3890 Oak St,Sandwiches,Shaughnessy
City1Cafe,954 West King Edward Ave.,Malay,Shaughnessy
Arbutus Club Bistro,,Burgers,Shaughnessy
Finest at Sea,4675 Arbutus Street,Seafood,Shaughnessy
Kim Express,952 W King Edward Ave,Vietnamese,Shaughnessy
A&W,"4255 Arbutus Street, #104",Fast Food,Shaughnessy
Mandarin Hong Kong Cafe 文華餐廳,904 W King Edward Ave.,Cantonese,Shaughnessy
Van Den Bosch Bakery,4255 Arbutus Street,Bakery,Shaughnessy
BC Women's Cafeteria,4500 Oak St,Cafeteria,Shaughnessy
Morrison / Shy Café,4500 Oak Street,Café,Shaughnessy
The One Restaurant,,Chinese,Shaughnessy
Xi Yan Restaurant 囍宴私房苹,#110-5701 Granville St.,Chinese,Shaughnessy
The Rise Eatery,3121 Granville Street,Restaurant,Shaughnessy
Union Market,Union St,Deli / Bodega,Strathcona
The Mackenzie Room,415,Restaurant,Strathcona
Phnom Penh,244 E Georgia St,Asian,Strathcona
Matchstick Coffee Roasters,213 E Georgia St,Café,Strathcona
Fujiya,912 Clark Dr.,Sushi,Strathcona
Railtown Cafe,397 Railway St,Café,Strathcona
The Union,219 Union St,Gastropub,Strathcona
Bao Bei,163 Keefer St,Chinese,Strathcona
Pizzeria Farina,915 Main St,Pizza,Strathcona
Oyster Express,296 Keefer Street,Seafood,Strathcona
Kissa Tanto,263 East Pender St,Japanese,Strathcona
Ask for Luigi,305 Alexander St,Italian,Strathcona
Finch’s Market,501 E Georgia St,Sandwiches,Strathcona
Juniper,185 Keefer St,Restaurant,Strathcona
Virtuous Pie,583 Main St,Pizza,Strathcona
Cuchillo,261 Powell St,Latin American,Strathcona
The Tuck Shoppe,,Sandwiches,Strathcona
Pacific~Poke,625 Main Street,Poke Place,Strathcona
Bestie,105 E Pender St,German,Strathcona
Cadeaux Bakery,172 Powell St,Bakery,Strathcona
LanaLou’s,362 Powell St,Diner,Strathcona
DALINA,687 Main St,Café,Strathcona
Torafuku,958 Main Street,Asian,Strathcona
New Town Bakery & Restaurant,148 E Pender St,Chinese,Strathcona
Truck Stop Cafe,1049 Clark Dr,Diner,Strathcona
Birds & The Beets,55 Powell St,Café,Strathcona
Dosanko,566 Powell St,Japanese,Strathcona
Deacon's Corner,101 Main St,Diner,Strathcona
Rhinofish,550 Main St,Noodles,Strathcona
Sardine Can,26 Powell,Tapas,Strathcona
Nicli Antica Pizzeria,62 E Cordova St,Pizza,Strathcona
Meet in Gastown,12 Water St,Vegetarian / Vegan,Strathcona
Chinatown BBQ,130 E Pender St,Chinese,Strathcona
Nelson the Seagull,315 Carrall St,Breakfast,Strathcona
The Downlow Chicken Shack,905 Commercial Drive,Fried Chicken,Strathcona
La Mezcaleria (Gastown),68 E Cordova St,Mexican,Strathcona
Tacofino Taco Bar,15 W Cordova St,Tacos,Strathcona
Dixies BBQ,337 East Hastings Street,BBQ,Strathcona
Yolks,1598 E Hastings St,Breakfast,Strathcona
Mamie Taylor's,251 E Georgia St,American,Strathcona
L’Abattoir,217 Carrall St,French,Strathcona
Caffe di Beppe,,Café,Strathcona
BAUHAUS,1 Cordova,German,Strathcona
Pepino’s,631 Commercial Drive,Italian,Strathcona
Dunlevy Snackbar,433 Dunlevy Ave,Asian,Strathcona
HAVE Cafe,374 Powell St,Café,Strathcona
Pidgin,350 Carrall St,Asian,Strathcona
Calabash Bistro,428 Carrall St.,Caribbean,Strathcona
St Lawrence Restaurant,269 Powell St,French,Strathcona
Rodney's,52 Powell St.,Seafood,Strathcona
Juke,180 Keefer Street,Fried Chicken,Strathcona
Gringo,27 Blood Alley Sq,Mexican,Strathcona
Lost + Found,33 W Hastings St,Café,Strathcona
Kin Kao,903 Commercial Dr,Thai,Strathcona
Odo Sushi,82 Keefer Place,Japanese,Strathcona
The Old Spaghetti Factory,53 Water Street,Italian,Strathcona
Uprising Breads Bakery,1697 Venables St,Bakery,Strathcona
Peckinpah BBQ,2 Water St,BBQ,Strathcona
Tuc Craft Kitchen,60 W Cordova St,Gastropub,Strathcona
The Brixton,212 E Georgia St,Café,Strathcona
Local Gastown,3 Alexander St,New American,Strathcona
Say Hey Cafe,156 E Pender St,Sandwiches,Strathcona
Sunrise Pizza & Steak House,949 Commercial Dr,Pizza,Strathcona
Campagnolo,1020 Main St,Italian,Strathcona
HiFive,22 East Cordova,Sandwiches,Strathcona
Hanoi Pho,404 E Hastings St,Vietnamese,Strathcona
Moltaqa,51 W Hastings,Moroccan,Strathcona
Ba Le,638 Main St.,Sandwiches,Strathcona
Pink Pearl,1132 E Hastings St,Chinese,Strathcona
Eternal Abundance,1025 Commercial Dr,Vegetarian / Vegan,Strathcona
Six Acres,203 Carrall St,Gastropub,Strathcona
Canra Plus Srilankan,88 W Pender St,Restaurant,Strathcona
Goldstone Bakery & Restaurant,139 Keefer St.,Chinese,Strathcona
Save On Meats,43 Hastings St W,Diner,Strathcona
Coquille,181 Carall Street,Seafood,Strathcona
Save On Meats Pop Up,1 W Cordova St,Diner,Strathcona
Golden Garden Vietnamese Cuisine,509 Main St,Vietnamese,Strathcona
The Ramen Butcher,223 E Georgia St,Noodles,Strathcona
Hogan's Alley Cafe,789 Gore Ave,Café,Strathcona
Kobob Burger,1019 Main St,Korean,Strathcona
The Irish Heather,212 Carrall St,Irish,Strathcona
To Dine For,,Burgers,Strathcona
Congee Noodle Delight,88 W Pender St,Chinese,Strathcona
Gain Wah Restaurant,218 Keefer Street,Chinese,Strathcona
Hakone Sushi,82 Keefer St.,Sushi,Strathcona
Prado Cafe,117 Water St,Café,Strathcona
Bali Thai,88 w. Pender st,Indonesian,Strathcona
Caveman Cafe,88 W Pender St,Restaurant,Strathcona
Axum Ethiopian,1279 E Hastings St,Ethiopian,Strathcona
Dubh Linn Gate Irish Pub,1601 Main St,Irish,Strathcona
Pizza Garden,1042 Commercial Dr.,Pizza,Strathcona
Subway,846 Powell Street,Sandwiches,Strathcona
The Heatley,696 E Hastings St,Restaurant,Strathcona
Deserts,905 Commercial Dr.,Indian,Strathcona
Railtown Cafe,1691 Main St,Café,Strathcona
Bodega on Main,1014 Main St,Tapas,Strathcona
Aussie Pie Guy,,Food Truck,Strathcona
Tina Vietnamese,88 W Pender,Vietnamese,Strathcona
Take Five Cafe Gastown,62 W Cordova St.,Café,Strathcona
A&W,1150 Station Street,Fast Food,Strathcona
Greenhorn Cafe,994 Nicola St,Café,West End
Cardero Bottega,1016 Cardero St.,Sandwiches,West End
La Belle Patate,1215 Davie Street,Restaurant,West End
COBS Bread,140-1160 Davie St.,Bakery,West End
Banana Leaf On Denman,1096 Denman St.,Asian,West End
Ramen Danbo,1333 Robson Street,Ramen,West End
Forage,1300 Robson St,Restaurant,West End
Miko Sushi,1335 Robson St,Sushi,West End
Cactus Club Cafe,1790 Beach Ave,New American,West End
España Restaurant,1118 Denman St.,Spanish,West End
Peaked Pies,975 Denman St,Comfort Food,West End
Guu with Garlic,1698 Robson St,Japanese,West End
Kingyo Izakaya 金魚居酒屋,871 Denman St,Japanese,West End
Sura,1518 Robson St,Korean,West End
Hokkaido Ramen Santouka,1690 Robson St,Ramen,West End
Baoguette Vietnamese Bistro,104 - 1184 Denman St,Vietnamese,West End
Donair Dude,1172 Davie St.,Falafel,West End
CinCin,1154 Robson St,Italian,West End
Takis Taverna,1106 Davie St,Greek,West End
Tavola,1829 Robson St,Italian,West End
Won More Szechuan Cuisine,201 - 1184 Denman St.,Szechuan,West End
Le Crocodile Restaurant,909 Burrard St,French,West End
Marutama Ra-men,780 Bidwell St,Ramen,West End
Horin Ramen + Sake,1226 Robson St,Ramen,West End
Joe Fortes Seafood & Chop House,777 Thurlow St,Seafood,West End
Stepho's Souvlaki Greek Taverna,1124 Davie St.,Greek,West End
Stepho's Souvlaki Greek Taverna,1359 Robson St,Greek,West End
Legendary Noodle,1074 Denman St,Noodles,West End
Ma Dang Goul,847 Denman St.,Korean,West End
Davie Dosa Company,1235 Davie St,South Indian,West End
Buckstop,833 Denman,BBQ,West End
Babylon Cafe,105-1610 Robson St,Middle Eastern,West End
Baguette & Co,1102 Davie St.,Bakery,West End
Kosoo Restaurant,832 Cardero Street,Korean,West End
Joe's Grill,1031 Davie St.,Diner,West End
Dinesty Chinese Restaurant,1719 Robson St.,Shanghai,West End
Saku,1773 Robson street,Japanese,West End
Sushi Bar Maumi,1226 Bute St,Sushi,West End
Chez Cora - Breakfast and Lunch,1368 Robson Street,Breakfast,West End
Cazba restaurant,1103 Davie St,Middle Eastern,West End
Earls,1185 Robson St,American,West End
Guu Original,838 Thurlow St.,Japanese,West End
Joe's Grill,948 Denman St,Breakfast,West End
Cora's,Robson,Breakfast,West End
Red Robin Gourmet Burgers and Brews,803 Thurlow Street,Burgers,West End
Pho Goodness,1183 Davie St,Vietnamese,West End
Zefferelli's Spaghetti Joint,1136 Robson St,Italian,West End
Molli Cafe,1225 Burrard St.,Mexican,West End
Melriches Coffee House,1244 Davie St,Café,West End
Sushi Sky,1226 Bute St.,Sushi,West End
49th Parallel & Lucky's Doughnuts,689 Thurlow,Donuts,West End
Tartine Bread & Pies,1069 Davie St,Bakery,West End
Number e food,1308 Burrard St,Sandwiches,West End
Cactus Club Cafe,1136 Robson St,American,West End
Banana Leaf,1043 Davie Street,Malay,West End
Cardero's Restaurant,1583 Coal Harbour Quay,Seafood,West End
Nook,781 Denman Street,Italian,West End
Simba's Grill,825 Denman St.,African,West End
Japadog,899 Burrard St.,Food Truck,West End
Hubbub Sandwiches,859 Hornby St,Sandwiches,West End
A Taste of India,1282 Robson Street,Indian,West End
Mumbai Local,,Indian,West End
Breka Bakery & Cafe,855 Davie St,Bakery,West End
Shizen Ya,985 Hornby St,Japanese,West End
Le Tigre,Alberni Street,Food Truck,West End
Samurai Japanese Restaurant,1108 Davie St,Japanese,West End
JOEY Burrard,820 Burrard St,New American,West End
Pacifico Pizzeria Ristorante,970 Smithe St.,Italian,West End
Coast Restaurant,1054 Alberni St.,Seafood,West End
Red Umbrella Cafe,1707 Davie Street,Café,West End
Ginger Garlic,Davie,Indian,West End
Yogi Korean Snack Bar,1706 Robson St.,Snacks,West End
Belachan Kitchen,1128 Robson St,Malay,West End
Gyu-Kaku Japanese BBQ,G3-888 Nelson St.,Japanese,West End
Bacchus Lounge,845 Hornby St,French,West End
Guu Garden,M101 - 888 Nelson St,Japanese,West End
Vij's Railway Express,1075 W Georgia St,Food Truck,West End
The Keg Steakhouse + Bar - Alberni,1121 Alberni St.,Restaurant,West End
Los Amigos Taqueria,1118 Davie St.,Mexican,West End
Zakkushi Charcoal Grill,823 Denman St,Japanese,West End
Pokerrito,Hornby St,Hawaiian,West End
Yui Japanese Bistro,102-1185 W Georgia St,Japanese,West End
Tetsu Sushi Bar,775 Denman street,Japanese,West End
Boulevard Kitchen & Oyster Bar,845 Burrard Street,Seafood,West End
Sala Thai,102-888 Burrard St,Thai,West End
Tacofino Cantina,Howe St.,Food Truck,West End
PINK Elephant THAI,1152 Alberni,Thai,West End
Sushi Coen,1306 Burrard St.,Sushi,West End
Thai Basil Restaurant,1215 Thurlow Street,Thai,West End
Mary’s On Davie,1202 Davie Street,Diner,West End
Eat Chicken Wraps,800 Howe Street,Food Truck,West End
Kobe Japanese Steakhouse,1042 Alberni St,Steakhouse,West End
Patterson Chinese Restaurant,917 Davie Street,Chinese,West End
Gurkha Himalayan Kitchen,1141 Davie St,Himalayan,West End
Ukrainian Village,815 Denman St,Eastern European,West End
Mom's Grilled Cheese Truck,Howe St.,Food Truck,West End
Falafel King,1110 Denman St.,Falafel,West End
Nando's,828 Davie St.,Portuguese,West End
Vera's Burger Shack,1030 Davie Street,Burgers,West End
Cafe Phin,976 Denman St,Vietnamese,West End
Sun Bo Kong,1363 Kingsway,Vegetarian / Vegan,Kensington-Cedar Cottage
House of Dosas,1391 Kingsway,Indian,Kensington-Cedar Cottage
Commercial Street Cafe,3599 Commercial St,Café,Kensington-Cedar Cottage
Pallet Coffee Roasters,,Café,Kensington-Cedar Cottage
Pink Peppercorn Seafood House,1486 Kingsway St,Seafood,Kensington-Cedar Cottage
Green Lettuce Restaurant,1949 Kingsway,Chinese,Kensington-Cedar Cottage
Tung Hing Bakery,1196 Kingsway,Vietnamese,Kensington-Cedar Cottage
My Chau,1715 kingsway,Vietnamese,Kensington-Cedar Cottage
Po Kong,1334 Kingsway,Vegetarian / Vegan,Kensington-Cedar Cottage
Chau Veggie Express,5052 Victoria Dr,Vegetarian / Vegan,Kensington-Cedar Cottage
Amay’s House,5076 Victoria Dr,Asian,Kensington-Cedar Cottage
Pho Thai Hang,1962 Kingsway,Vietnamese,Kensington-Cedar Cottage
The Tipper,2066 Kingsway,American,Kensington-Cedar Cottage
Hai Phong,1246 Kingsway,Vietnamese,Kensington-Cedar Cottage
White Spot,1476 Kingsway,Burgers,Kensington-Cedar Cottage
Bâtard Boulangerie & Cafe Moderne,3958 Fraser St,Café,Kensington-Cedar Cottage
Sushi By Yuji,2252 Kingsway,Japanese,Kensington-Cedar Cottage
Hoang Yen,5338 Victoria Dr.,Vietnamese,Kensington-Cedar Cottage
Aree Thai,1150 Kingsway,Thai,Kensington-Cedar Cottage
O! Taho Filipino Taho Store,,Filipino,Kensington-Cedar Cottage
Banh Mi Saigon,5397 Victoria Drive,Vietnamese,Kensington-Cedar Cottage
Bandidas Taqueria,2781 Commercial Dr,Vegetarian / Vegan,Kensington-Cedar Cottage
Mogu: Japanese Street Eats,Howe Street,Food Truck,Kensington-Cedar Cottage
Adelitas Mexican Food,4180 Victoria Dr,Mexican,Kensington-Cedar Cottage
Pho Thái Hòa,1625 Kingsway,Vietnamese,Kensington-Cedar Cottage
Sal y Limón,701 Kingsway,Mexican,Kensington-Cedar Cottage
BKH Jerky,3201 Fraser St.,BBQ,Kensington-Cedar Cottage
Pizza Carano,4241 Fraser St,Pizza,Kensington-Cedar Cottage
Dosa Factory,,South Indian,Kensington-Cedar Cottage
Hoi An,5002 Victoria Dr,Vietnamese,Kensington-Cedar Cottage
Ba Le French Sandwiches (Banh Mi),701 Kingsway Ave.,Vietnamese,Kensington-Cedar Cottage
Bakery Sate,2879 Commercial Drive,Bakery,Kensington-Cedar Cottage
Hapag Ihaw Ihaw,5432 Victoria Dr,Filipino,Kensington-Cedar Cottage
El Caracol Mexican Cafe,5190 victoria drive,Mexican,Kensington-Cedar Cottage
Green Lemongrass,1086 Kingsway,Vietnamese,Kensington-Cedar Cottage
Kings Cafe,2223 Kingsway,Café,Kensington-Cedar Cottage
Duffin's Donuts,1391 E 41st Ave.,Donuts,Kensington-Cedar Cottage
Golden Eats Seafood Restaurant,2141 Kingsway,Cantonese,Kensington-Cedar Cottage
Church's Chicken,2504 Kingsway,Fried Chicken,Kensington-Cedar Cottage
De Dutch Pannekoek House,4003 Knight Street,Breakfast,Kensington-Cedar Cottage
Western Lake Chinese Restaurant,4989 Victoria Drive,Chinese,Kensington-Cedar Cottage
Egg And Company,4245 Fraser Street,Breakfast,Kensington-Cedar Cottage
Kokoro Ramen,,Japanese,Kensington-Cedar Cottage
Seoul Doogbaegi House,1031 Kingsway,Korean,Kensington-Cedar Cottage
Szechuan Chongqing Restaurant,2808 Commercial Drive,Chinese,Kensington-Cedar Cottage
Kalvin's Szechuan Restaurant,5225 Victoria Dr,Chinese,Kensington-Cedar Cottage
Cedar Cottage Pub,1261 Kingsway,American,Kensington-Cedar Cottage
Vegan Pizza House,2119 Kingsway,Pizza,Kensington-Cedar Cottage
Truong Thanh,2096 kingsway,Vietnamese,Kensington-Cedar Cottage
Pho Quyen Restaurant,3916 Fraser St,Vietnamese,Kensington-Cedar Cottage
Subway,1773 Kingsway,Sandwiches,Kensington-Cedar Cottage
SweetSalt Baked Goods & Playscapes,3497 Fraser Street,Bakery,Kensington-Cedar Cottage
Veggiebowl,2222 Kingsway,Vegetarian / Vegan,Kensington-Cedar Cottage
Banner's Restaurant,1680 E. 12th Ave,Diner,Kensington-Cedar Cottage
Sandy La Chinese Restaurant,5257 Victoria Dr.,Chinese,Kensington-Cedar Cottage
Deutsches Haus,4875 Victoria Drive,German,Kensington-Cedar Cottage
Dai Tung 大同,#108 - 1050 Kingsway,Chinese,Kensington-Cedar Cottage
Lam Hoa Quan,5073 Victoria Drive,Vietnamese,Kensington-Cedar Cottage
BT Cafe,920 Kingsway,Chinese,Kensington-Cedar Cottage
Happy Family Restaurant,2178 Kingsway,Chinese,Kensington-Cedar Cottage
Mui Ngo Gai,2052 Kingsway,Vietnamese,Kensington-Cedar Cottage
Hoy's Won Ton House,1202 Kingsway,Chinese,Kensington-Cedar Cottage
Kyle's Cafe,2627 Commercial Drive,Chinese,Kensington-Cedar Cottage
Kawa Sushi,5088 Victoria Drive,Japanese,Kensington-Cedar Cottage
Oka-San,3578 Fraser st,Japanese,Kensington-Cedar Cottage
Nammos Estiatorio,3980 Fraser St,Greek,Kensington-Cedar Cottage
Ken's Chinese Restaurant,1097 kingsway,Chinese,Kensington-Cedar Cottage
Xu Hue,2226 kingsway,Vietnamese,Kensington-Cedar Cottage
Come Along Seafood Restaurant,2550 Kingsway,Chinese,Kensington-Cedar Cottage
Golden Swan Restaurant,5380 Victoria Street,Dim Sum,Kensington-Cedar Cottage
Naruto Sushi,2763 Commercial Drive,Sushi,Kensington-Cedar Cottage
Subway,4108 Fraser Street,Sandwiches,Kensington-Cedar Cottage
Pho Hoa,2257 Kingsway,Vietnamese,Kensington-Cedar Cottage
Fatty Cow Seafood Hot Pot 小肥牛火鍋專門店,5108 Victoria Drive,Chinese,Kensington-Cedar Cottage
Bale Deli & bakery,25 kingsway,Bakery,Kensington-Cedar Cottage
Pho Long,3370 Fraser St.,Vietnamese,Kensington-Cedar Cottage
Kent's Kitchen,5659 Victoria Dr,Asian,Kensington-Cedar Cottage
Shima-Ya Japanese Restaurant,5589 Victoria Dr,Japanese,Kensington-Cedar Cottage
Tiem Banh Dong Khanh,1196 Kingsway,Vietnamese,Kensington-Cedar Cottage
Kingsway Deli,Kingsway,Deli / Bodega,Kensington-Cedar Cottage
Pearl On Victoria,,Asian,Kensington-Cedar Cottage
AA Plus Fish Noodle Soup 好好味,,Noodles,Kensington-Cedar Cottage
Ubuntu,4194 Fraser Street,Restaurant,Kensington-Cedar Cottage
Bee Kim Heng,4194 Fraser St,Chinese,Kensington-Cedar Cottage
European Breads Bakery,4324 Fraser St.,Bakery,Kensington-Cedar Cottage
Nooru Mahal,4354 Fraser Street,Indian,Kensington-Cedar Cottage
Float On Bakeshop & Cafe,4384 Fraser St,Bakery,Kensington-Cedar Cottage
Grand View Szechuan Restaurant Ltd,4181 Fraser St,Chinese,Kensington-Cedar Cottage
Masayoshi,4376 Fraser St,Japanese,Kensington-Cedar Cottage
Aling Ening,4253 fraser street,Filipino,Kensington-Cedar Cottage
The Eastwood,4245 Fraser Street,American,Kensington-Cedar Cottage
Pho Cilantro,4197 Fraser St,Vietnamese,Kensington-Cedar Cottage
Penang Bistro,3960 Fraser St,Malay,Kensington-Cedar Cottage
Gojo Cafe,2838 Commercial Drive,African,Kensington-Cedar Cottage
Panz Veggie,3485 Fraser Street,Vegetarian / Vegan,Kensington-Cedar Cottage
Circus Play Cafe,1650 East 12th Ave,Café,Kensington-Cedar Cottage
Pho Hue,5497 Victoria Dr,Vietnamese,Kensington-Cedar Cottage
Pho Thuan An,789 Kingsway,Vietnamese,Kensington-Cedar Cottage
Kojak's,2763 Commercial Dr.,Fast Food,Kensington-Cedar Cottage
Maxim's Bakery,,Bakery,Kensington-Cedar Cottage
Sushiyama,371 E Broadway,Sushi,Mount Pleasant
Budgie’s Burritos,44 Kingsway,Burritos,Mount Pleasant
Fable Diner,151E E Broadway,Diner,Mount Pleasant
Tocador,2610 MAIN ST,Latin American,Mount Pleasant
Chutney Villa,147 E Broadway,Indian,Mount Pleasant
Carp,2516 Prince Edward Street,Sushi,Mount Pleasant
La Taqueria Pinche Taco Shop,2521 Main St,Tacos,Mount Pleasant
Rosemary Rocksalt,2515 Main St,Bagels,Mount Pleasant
Cartems Donuterie,2152 Main St,Donuts,Mount Pleasant
Congee Noodle House 粥麵館 (Congee Noodle House),141 E Broadway,Chinese,Mount Pleasant
JJ's Trucketeria,Fraser Street,Food Truck,Mount Pleasant
Burdock & Co.,2702 Main St,New American,Mount Pleasant
Nirvana Indian Restaruant,2313 Main Street,Indian,Mount Pleasant
Pure Bread,5 W 5th Ave,Bakery,Mount Pleasant
The Whip,209 E 6th Ave,Breakfast,Mount Pleasant
Ignite Pizzeria,Main Street,Pizza,Mount Pleasant
Dock Lunch,152 E 11th Ave,Sandwiches,Mount Pleasant
Sunny Spot Cafe 张记凉皮肉夹馍,2543 Main St,Noodles,Mount Pleasant
Burgoo Bistro,3096 Main St.,Mac & Cheese,Mount Pleasant
The Rumpus Room,2301 Main St,Diner,Mount Pleasant
Cafe D'Afrique,363  E. Broadway,Ethiopian,Mount Pleasant
Swiss Bakery,143 East 3rd Ave,Bakery,Mount Pleasant
Nuba Café,146 E 3rd Ave,Middle Eastern,Mount Pleasant
Peaceful Restaurant 和平饭店,43 E 5th Ave,Chinese,Mount Pleasant
COBS Bread,2924 Main St,Bakery,Mount Pleasant
Eight ½ Restaurant Lounge,151 E 8th Ave,Gastropub,Mount Pleasant
Toshi Sushi,181 E 16th Ave.,Sushi,Mount Pleasant
Chicha,136 E Broadway,Peruvian,Mount Pleasant
Osteria Savio Volpe,615 Kingsway,Italian,Mount Pleasant
Kranky Cafe,228 E 4th Ave,Café,Mount Pleasant
Martini's,151 Broadway W,Italian,Mount Pleasant
Hime Sushi,315 E Broadway,Sushi,Mount Pleasant
Thai Son,373 East Broadway's,Vietnamese,Mount Pleasant
Los Cuervos Taqueria & Cantina,603 Kingsway,Mexican,Mount Pleasant
Smith’s Bagelry,191 W. Broadway,Bagels,Mount Pleasant
The Gluten Free Epicurean,633 E 15th Ave,Bakery,Mount Pleasant
Tacofino Ocho,8 E 5th Avenue,Tacos,Mount Pleasant
Les Faux Bourgeois,663 E 15th Ave,French,Mount Pleasant
Anh and Chi,3388 Main St,Vietnamese,Mount Pleasant
Pizzeria Barbarella,654 E Broadway,Pizza,Mount Pleasant
Pho Goodness,3079 Main Street,Vietnamese,Mount Pleasant
Tractor,1751 Quebec St,Salad,Mount Pleasant
Modus Coffee,112 W Broadway,Café,Mount Pleasant
Papa's Pizza,3030 Main Street,Pizza,Mount Pleasant
Emelle's Catering,177 W.7th Avenue,Bistro,Mount Pleasant
Pho Linh,325 E Broadway,Vietnamese,Mount Pleasant
The General Public,3289 Main St,Japanese,Mount Pleasant
The Wallflower,2420 Main St,Diner,Mount Pleasant
El Camino's,3250 Main St.,Latin American,Mount Pleasant
Maizal,,Mexican,Mount Pleasant
Fife Bakery,64 East 3rd Avenue,Bakery,Mount Pleasant
Anna's Cake House,606 East Broadway,Bakery,Mount Pleasant
Kwong Chow Congee & Noodle House,3163 Main St.,Noodles,Mount Pleasant
Caffé Rustico,3136 Main St.,Café,Mount Pleasant
Fassil,736 East Broadway,Ethiopian,Mount Pleasant
The Lions Den Cafe,651 E 15th Ave,Caribbean,Mount Pleasant
Terra Breads False Creek,53 West 5th Ave,Café,Mount Pleasant
Frenchies Montreal Smoked Meat,,Bistro,Mount Pleasant
Don’t Argue Pizzeria,3240 Main St,Pizza,Mount Pleasant
Caffé Barney,2526 Main St,Breakfast,Mount Pleasant
Como Taperia,201 E 7th Ave,Tapas,Mount Pleasant
Subway,36-96 E Broadway,Sandwiches,Mount Pleasant
Argo Cafe,1836 Ontario St.,Diner,Mount Pleasant
