name,rating,review_count,lat,lng,region
White Spot Kingsway,4.1,1098,49.2489856,-123.0742081,Kensington-Cedar Cottage
White Spot Marine Drive,3.7,926,49.2105107,-123.0833322,Sunset
White Spot Granville & Drake,3.6,353,49.2761619,-123.1282952,Downtown
White Spot (Coast Hotel),3.6,484,49.2048294,-123.130886,Marpole
White Spot Dunsmuir,4.2,1268,49.2819406,-123.1135203,Downtown
White Spot Kerrisdale,3.8,585,49.2376685,-123.1556307,Kerrisdale
White Spot Cardero,4,1162,49.2908118,-123.1316086,West End
White Spot Dunsmuir,4.2,1268,49.2819406,-123.1135203,Downtown
White Spot Oakridge,3.9,817,49.2333095,-123.1175731,Oakridge
