name,rating,review_count,lat,lng,region
Panago Pizza,3.8,72,49.2314324,-123.0315171,Killarney
Panago Pizza,3.5,54,49.272479,-123.0561534,Hastings-Sunrise
Panago Pizza,3.9,43,49.2100905,-123.1178353,Marpole
Panago Pizza,3.2,49,49.258807,-123.1008782,Mount Pleasant
Panago Pizza,4.5,17,49.20585519999999,-123.0318989,Killarney
Panago Pizza,4.0,58,49.2737585,-123.1232841,Downtown
Panago Pizza,3.8,52,49.2633586,-123.1328321,Fairview
Panago Pizza,4.2,67,49.288546,-123.1226527,Downtown
Panago Pizza,3.7,60,49.28978,-123.1383661,West End
Panago Pizza,3.4,40,49.2642903,-123.1705284,Kitsilano
Panago Pizza,4.5,17,49.20585519999999,-123.0318989,Killarney
Panago Pizza,4.1,63,49.2111805,-123.1408436,Marpole
