name,rating,review_count,lat,lng,region
Rogue Kitchen & Wetbar,4.0,709,49.2876106,-123.1150993,Downtown
Rogue Kitchen & Wetbar,4.0,700,49.2629582,-123.1179178,Fairview
Rogue Kitchen & Wetbar,4.0,1678,49.2859448,-123.1122271,Downtown
